0,-1,1997年のガンバ大阪,WellDone,ここでは1997年におけるガンバ大阪の試合結果などについて記載する。,


1,0,菊池利三,1997年のガンバ大阪,菊池 利三（きくち としみ、1973年6月17日 - ）は、岩手県遠野市出身の、元サッカー選手。サッカー指導者。現役時代のポジションはディフェンダー（サイドバック、センターバック）、ミッドフィールダー（守備的MF、左サイドハーフ）。 / サッカー指導者の菊池新吉は実兄。,


2,0,松代直樹,1997年のガンバ大阪,松代 直樹（まつよ なおき、1974年4月9日 - ）は、奈良県奈良市出身の元プロサッカー選手、サッカー指導者。現役時代のポジションはゴールキーパー（GK）。,


3,1,東大阪市花園ラグビー場,菊池利三,東大阪市花園ラグビー場（ひがしおおさかしはなぞのラグビーじょう）は、大阪府東大阪市の花園中央公園内にあるラグビー専用スタジアム。 / 1929年11月22日、現在の近畿日本鉄道（近鉄）の前身である大阪電気軌道（大軌）によって、大阪府中河内郡英田村（当時）の現在地に日本初となるラグビー専用競技場「花園ラグビー運動場」として開場した。長年にわたり近鉄が所有し、1982年以降「近鉄花園ラグビー場」と称していたが、2015年からは東大阪市が所有し、2020年10月1日からは公募設置管理制度（Park-PFI）に基づいてFC大阪・HOS・天正グループで構成する「東大阪花園活性化マネジメント共同体」が当スタジアムを含む花園中央公園全体の管理運営を行っている。 / 1963年以降、全国高等学校ラグビーフットボール大会の会場として定着しており、同大会は「花園」と通称されている。また、ジャパンラグビーリーグワン（リーグワン）加盟の花園近鉄ライナーズが大軌ラグビー部時代の1929年から、日本プロサッカーリーグ（Jリーグ）加盟のFC大阪が2020年（実質的には2023年）からそれぞれホームグラウンドとしている。 / 2019年にはラグビーワールドカップ2019の会場のひとつとなり、プールステージの4試合で使用された。,


4,1,近藤祐輔,菊池利三,近藤 祐輔（こんどう ゆうすけ、1986年8月19日 - ）は、北海道出身の元サッカー選手。株式会社FC大阪代表取締役社長。選手時代のポジションはゴールキーパー。,


5,2,奈良県立上牧高等学校,松代直樹,奈良県立上牧高等学校（ならけんりつ しきがおか こうとうがっこう、英: Nara Prefectural Kanmaki High School）は、奈良県北葛城郡上牧町下牧に所在した県立高等学校。略称および通称は上高 。,


6,2,木場昌雄,松代直樹,木場 昌雄（きば まさお、1974年9月6日 - ）は、兵庫県南あわじ市出身の元プロサッカー選手、サッカー指導者。現役時代のポジションはディフェンダー、ミッドフィールダー。,


7,3,上本町YUFURA,東大阪市花園ラグビー場,上本町YUFURA（うえほんまちユフラ）は、大阪府大阪市天王寺区上本町六丁目（上六）にある複合商業施設である。「ゆらりふらりと何度でも立ち寄りたくなる気持ちよい場所、心地よい空間」をイメージしてYUFURAと名づけられた。,


8,3,大和文華館,東大阪市花園ラグビー場,大和文華館（やまとぶんかかん）は、奈良県奈良市にある、東洋古美術を中心とする私立美術館である。 / 1962年に第3回BCS賞を受賞。2005年にはDOCOMOMO JAPAN選定 日本におけるモダン・ムーブメントの建築に選ばれた。,


